sym,date,open,high,low,close,volume
BA,2023.03.06,214.12,214.75,209.6,211.92,7004400
BA,2023.03.07,211.31,213.18,207.78,207.92,4619700
BA,2023.03.08,208.25,208.88,205.94,207.2,2406900
BA,2023.03.09,208.32,209.02,200.3,201.24,4284000
BA,2023.03.10,201.43,205.0,197.79,203.07,8547100
BA,2023.03.13,200.2,207.08,197.11,203.37,6671200
BA,2023.03.14,207.53,213.56,205.0,207.28,8245700
BA,2023.03.15,201.92,202.21,192.41,198.21,10894200
BA,2023.03.16,196.21,203.91,194.43,203.19,6747300
BA,2023.03.17,201.35,202.83,199.0,201.05,9858900
BA,2023.03.20,201.12,205.87,200.87,204.77,4764000
BA,2023.03.21,207.3,207.86,203.89,204.7,4673300
BA,2023.03.22,203.68,203.83,196.01,196.16,7311600
BA,2023.03.23,197.9,201.5,195.14,197.9,6266900
BA,2023.03.24,195.5,197.57,193.92,197.53,4511600
BA,2023.03.27,198.63,201.55,198.63,200.57,3891700
BA,2023.03.28,200.82,206.3,200.49,204.96,5460600
BA,2023.03.29,206.5,208.65,205.88,207.97,3572200
BA,2023.03.30,208.97,212.87,206.52,211.04,6583400
BA,2023.03.31,211.75,214.8,211.39,212.43,5147500
BA,2023.04.03,212.8,218.57,212.53,215.39,6085900
BA,2023.04.04,212.0,213.99,209.12,213.9,6192300
BA,2023.04.05,212.23,214.23,208.67,210.0,4138400
BA,2023.04.06,210.0,212.37,208.22,211.37,5618100
BA,2023.04.10,211.0,214.1,209.73,210.78,3729300
BA,2023.04.11,213.29,214.5,211.86,212.32,5277500
BA,2023.04.12,213.66,214.3,210.13,212.34,4600300
BA,2023.04.13,213.0,213.68,211.5,213.59,4501600
BA,2023.04.14,202.59,204.28,198.15,201.71,19066500
BA,2023.04.17,202.0,206.1,200.8,205.03,6306800
BA,2023.04.18,205.5,208.94,203.72,208.37,7445800
BA,2023.04.19,207.12,210.87,206.94,208.71,4757400
BA,2023.04.20,207.42,209.88,206.08,207.23,3322900
BA,2023.04.21,208.0,208.38,204.18,205.15,3432300
BA,2023.04.24,204.87,206.5,203.25,205.77,3058900
BA,2023.04.25,204.54,204.94,201.12,202.19,4699500
BA,2023.04.26,208.25,211.7,202.68,203.03,9137200
BA,2023.04.27,204.65,209.09,203.53,206.04,5105200
BA,2023.04.28,204.51,206.95,202.9,206.78,3716100
BA,2023.05.01,206.25,208.52,203.62,203.87,3776800
BA,2023.05.02,203.0,204.19,200.09,203.25,3970800
